招生年份 招生批次 招生院校 专业组 科目要求 专业 计划数 录取数 最高分 最高分位次 最低分 最低分位次 平均分 平均分位次 省市
2025 本科普通批 上海电力大学 11701-上海电力 物理和化学 01-电气工程及其自动化 278 278 567 6602 532 15236 540 13049 上海
2025 本科普通批 上海电力大学 11702-上海电力 物理和化学 02-能源与动力工程 30 30 533 14978 526 16940 529 16109 上海
2025 本科普通批 上海电力大学 11702-上海电力 物理和化学 03-机械设计制造及其自动化 42 42 525 17222 506 22512 510 21367 上海
2025 本科普通批 上海电力大学 11702-上海电力 物理和化学 04-新能源科学与工程 22 22 523 17799 507 22221 512 20807 上海
2025 本科普通批 上海电力大学 11702-上海电力 物理和化学 05-储能科学与工程 20 20 525 17222 507 22221 514 20273 上海
2025 本科普通批 上海电力大学 11702-上海电力 物理和化学 06-能源互联网工程 22 22 531 15514 522 18065 525 17222 上海
2025 本科普通批 上海电力大学 11702-上海电力 物理和化学 07-电气工程及其自动化(中外合作办学) 46 46 532 15236 527 16655 530 15808 上海
2025 本科普通批 上海电力大学 11702-上海电力 物理和化学 08-自动化 76 76 532 15236 510 21367 517 19421 上海
2025 本科普通批 上海电力大学 11702-上海电力 物理和化学 09-测控技术与仪器 46 46 521 18317 503 23377 505 22797 上海
2025 本科普通批 上海电力大学 11702-上海电力 物理和化学 10-智能科学与技术 30 30 510 21367 500 24251 503 23377 上海
2025 本科普通批 上海电力大学 11702-上海电力 物理和化学 11-计算机科学与技术 42 42 530 15808 508 21944 513 20546 上海
2025 本科普通批 上海电力大学 11702-上海电力 物理和化学 12-软件工程 40 40 513 20546 503 23377 505 22797 上海
2025 本科普通批 上海电力大学 11702-上海电力 物理和化学 13-信息安全 42 42 522 18065 500 24251 503 23377 上海
2025 本科普通批 上海电力大学 11702-上海电力 物理和化学 14-数据科学与大数据技术 36 36 515 19985 500 24251 504 23089 上海
2025 本科普通批 上海电力大学 11702-上海电力 物理和化学 15-通信工程 26 26 514 20273 502 23673 505 22797 上海
2025 本科普通批 上海电力大学 11702-上海电力 物理和化学 16-电子信息工程 23 23 526 16940 508 21944 512 20807 上海
